Xe,Dung tích (cc),Dung tích bình nhiên liệu (l),Mức tiêu thụ nhiên liệu (lít/100 km),Phạm vi hoạt động,Công suất động cơ,Số chỗ ngồi,Giá (VNĐ)
Toyota Vios ,1496,42,5.9,711,106,5,497
Huyndai Accent ,1.497,45,6.2,725.8,100,5,506.5
Kia Morning 2022,1250,35,5.3,"660,4",83,5,389
Toyota Innova 2021,1998,55,9.75,564.1,137,7,876.25
Mazda CX-5 2023,2488,58,"8,04",721.39,188,5,860.4
Ford Ranger 2024 ,1.996,85.8,7.5,1144,270,5,814
Mitsubishi Xpander 2023 ,1499,45,6.9,652.2,104,7,628.5
Kia Seltos 2024,1497,50,5.8,862,113,5,700
Hyundai i10 2024,1.197,37,5.8,637.9,83,5,410
Honda City 2023,1498,40,5.6,714.3,119,5,535
Vinfast VF3,1496,42,5.9,210,"42,88",5,322
Vinfast VF5 Plus,1.497,45,6.2,310,134,5,458
BYD Dolphin 2024,1250,35,5.3,405,94,5,659
Vinfast VF6,1998,55,9.75,399,125,5,675
BYD Atto 3,2488,58,"8,04",480,150,5,766
Vinfast V7,1.996,85.8,7.5,450,349,5,861
Haima 7X-E Comfort,1499,45,6.9,475,201,5,981